"","policy_number","claim_ultimate","claim_number"
"1","C1AE00783351",22447.1030977006,"CR0080343074"
"2","C1AE00075999",18380.6341085433,"CR0010605425"
"3","C1AE00141200",141429.059864315,"CR0034027774"
"4","C1AE00264573",18057.6903532957,"CR0050581498"
"5","C1AE00212315",85790.8487376124,"CR0090796329"
"6","C1AE00212315",412740.419743752,"CR0003635914"
"7","C1AE00823288",20150.0311535223,"CR0023159433"
"8","C1AE00823288",115795.605279435,"CR0068638721"
"9","C1AE00963470",10046.3815617232,"CR0031311629"
"10","C1AE00963470",31053.2448396275,"CR0030279465"
"11","C1AE00963470",322651.760652281,"CR0064169652"
"12","C1AE00660436",227089.709330681,"CR0035770598"
"13","C1AE00396824",32044.6873168488,"CR0081674396"
"14","C1AE00066346",146779.820855436,"CR0068266453"
"15","C1AE00066346",59615.9264523052,"CR0078519629"
"16","C1AE00066346",63431.4652831801,"CR0002766202"
"17","C1AE00066346",10813.5945901897,"CR0006586397"
"18","C1AE00066346",150320.736916241,"CR0039131696"
"19","C1AE00363455",407259.143904155,"CR0089759783"
"20","C1AE00291174",90893.5082908877,"CR0016334893"
"21","C1AE00598543",196303.999789886,"CR0058298668"
"22","C1AE00474899",82938.5349707244,"CR0068670867"
"23","C1AE00220222",50734.0159195154,"CR0097807866"
"24","C1AE00220222",24966.2233866883,"CR0002269873"
"25","C1AE00337648",40990.2022417742,"CR0056039932"
"26","C1AE00337648",28333.7548725729,"CR0092624071"
"27","C1AE00036292",91332.9206047007,"CR0049941175"
"28","C1AE00050044",102980.312732418,"CR0005672148"
"29","C1AE00484857",63871.8715007065,"CR0048682590"
"30","C1AE00102649",424693.675800232,"CR0051601075"
"31","C1AE00102649",136602.040912973,"CR0048738913"
"32","C1AE00102649",98744.3848376206,"CR0001163205"
"33","C1AE00102649",73660.101905346,"CR0088712295"
"34","C1AE00102649",62521.5262138322,"CR0007762634"
"35","C1AE00102649",47701.0641061833,"CR0074805472"
"36","C1AE00102649",24316.5989325632,"CR0000924018"
"37","C1AE00426407",10555.7482443298,"CR0081368528"
"38","C1AE00426407",12997.1255963737,"CR0053933365"
"39","C1AE00257529",32067.140958192,"CR0050023582"
"40","C1AE00321252",126017.821767532,"CR0066927723"
"41","C1AE00328039",51193.9427405916,"CR0063794125"
"42","C1AE00830395",50640.1232976564,"CR0014489831"
"43","C1AE00830395",71265.4303255787,"CR0004045304"
"44","C1AE00830395",236672.859735174,"CR0077604833"
"45","C1AE00830395",11850.4407316742,"CR0014886013"
"46","C1AE00136909",18080.341538451,"CR0078347596"
"47","C1AE00136909",331639.260428255,"CR0097126678"
"48","C1AE00162940",67820.1542070661,"CR0021445337"
"49","C1AE00162940",14260.3198019929,"CR0054834340"
"50","C1AE00083639",7881.87908834316,"CR0048766069"
"51","C1AE00912445",6600.37791264202,"CR0079292141"
"52","C1AE00912445",45357.7270030487,"CR0080952519"
"53","C1AE00912445",122502.987631394,"CR0098156321"
"54","C1AE00912445",85785.6470363257,"CR0054299741"
"55","C1AE00110557",261823.973833441,"CR0022111056"
"56","C1AE00419516",59682.0272271324,"CR0090412274"
"57","C1AE00249912",135659.297570856,"CR0048340950"
"58","C1AE00105374",78940.8782624669,"CR0028984773"
"59","C1AE00707817",89941.4060072311,"CR0081531667"
"60","C1AE00296956",91187.7219039208,"CR0048041972"
"61","C1AE00280792",89305.2517373109,"CR0023268234"
"62","C1AE00280792",121060.183962761,"CR0049703968"
"63","C1AE00118776",156857.849047419,"CR0036797998"
"64","C1AE00590267",39440.7498013551,"CR0056201459"
"65","C1AE00040574",48102.6595649109,"CR0052010685"
"66","C1AE00700156",6807.09151425832,"CR0063128634"
"67","C1AE00328561",5701.18547537533,"CR0053865984"
"68","C1AE00328561",141925.40878428,"CR0033107680"
"69","C1AE00763256",17460.2408826858,"CR0061324725"
"70","C1AE00763256",63165.4931625186,"CR0054114869"
"71","C1AE00763256",56758.694284864,"CR0013883372"
"72","C1AE00763256",61747.4572913407,"CR0006825565"
"73","C1AE00676888",63580.2862272298,"CR0077338896"
"74","C1AE00187133",132288.504393685,"CR0079387656"
"75","C1AE00749550",38076.7467327113,"CR0004540034"
"76","C1AE00749550",73378.7363435175,"CR0035148377"
"77","C1AE00749550",130306.146748408,"CR0057067408"
"78","C1AE00630730",121548.652548144,"CR0063479553"
"79","C1AE00579729",61349.6161222369,"CR0078428952"
"80","C1AE00579729",64607.5741661637,"CR0057350144"
"81","C1AE00579729",71782.7399359537,"CR0027287990"
"82","C1AE00970370",94891.0003440267,"CR0097437508"
"83","C1AE00263644",64549.1512227059,"CR0016187377"
"84","C1AE00263644",98234.2111174537,"CR0004326996"
"85","C1AE00522963",83595.334947776,"CR0097223327"
"86","C1AE00884499",10593.3495083266,"CR0081848856"
"87","C1AE00884499",6914.8754847094,"CR0026542460"
"88","C1AE00975704",16270.4419174237,"CR0005870756"
"89","C1AE00975704",103207.303538515,"CR0077907733"
"90","C1AE00967107",113993.519847254,"CR0058325902"
"91","C1AE00489123",787160.771555522,"CR0092424789"
"92","C1AE00593945",23627.2340424453,"CR0067367152"
"93","C1AE00630066",47129.004403378,"CR0057103739"
"94","C1AE00886691",514419.904011193,"CR0081028619"
"95","C1AE00886691",245076.851185734,"CR0079866218"
"96","C1AE00886691",37320.3317110575,"CR0097740127"
"97","C1AE00886691",296711.373878671,"CR0070611938"
"98","C1AE00043856",19432.403986153,"CR0056687699"
"99","C1AE00043856",39567.4427366174,"CR0000683980"
"100","C1AE00371903",73394.6104365865,"CR0057285882"
"101","C1AE00391390",163775.718376709,"CR0026887895"
"102","C1AE00790737",251435.049056827,"CR0063981928"
"103","C1AE00841739",11724.4550246813,"CR0095086745"
"104","C1AE00841739",15918.8833420418,"CR0014681999"
"105","C1AE00724473",154044.548900841,"CR0092142464"
"106","C1AE00724473",24380.4595780457,"CR0021681816"
"107","C1AE00724473",71340.5374376347,"CR0016792660"
"108","C1AE00309411",118378.045396367,"CR0057728986"
"109","C1AE00309411",161555.951306222,"CR0010695354"
"110","C1AE00681386",23092.9707000793,"CR0021877654"
"111","C1AE00681386",53196.9086450727,"CR0061511216"
"112","C1AE00681386",49621.7960802389,"CR0078514076"
"113","C1AE00681386",32662.7491094137,"CR0055198247"
"114","C1AE00286055",29646.7769183582,"CR0075393660"
"115","C1AE00239320",37450.1269581195,"CR0082739163"
"116","C1AE00091014",25822.0233713996,"CR0019488781"
"117","C1AE00163109",391629.635069698,"CR0031538507"
"118","C1AE00163109",106869.097810551,"CR0063725230"
"119","C1AE00951850",9357.55328043914,"CR0027493462"
"120","C1AE00519088",120255.332749867,"CR0041716708"
"121","C1AE00829357",42693.5272810746,"CR0038278201"
"122","C1AE00951279",34771.6929537964,"CR0077454135"
"123","C1AE00132798",27839.3124301262,"CR0021071316"
"124","C1AE00054252",77771.396378778,"CR0046704990"
"125","C1AE00054252",51677.9516872803,"CR0025075359"
"126","C1AE00524663",285345.283888163,"CR0074847571"
"127","C1AE00524663",36883.6594880702,"CR0072682545"
"128","C1AE00524663",317901.18166824,"CR0040246455"
"129","C1AE00447959",146909.21114501,"CR0094177097"
"130","C1AE00379974",54669.8951320256,"CR0094125011"
"131","C1AE00785604",19281.2441045116,"CR0005127077"
"132","C1AE00785604",94264.929295661,"CR0024039293"
"133","C1AE00785604",42049.0313228615,"CR0002136473"
"134","C1AE00785604",19389.0403095336,"CR0005355597"
"135","C1AE00588184",65323.4170884185,"CR0011905984"
"136","C1AE00219669",69193.784150691,"CR0048591061"
"137","C1AE00219669",135710.537202147,"CR0098956268"
"138","C1AE00219669",30773.5663417852,"CR0035113285"
"139","C1AE00219669",33619.6056674517,"CR0044011639"
"140","C1AE00345646",40462.7052052947,"CR0071416996"
"141","C1AE00647069",44732.7027233581,"CR0065429487"
"142","C1AE00513724",4737.8528801659,"CR0016356003"
"143","C1AE00328038",82547.5800861356,"CR0062350067"
"144","C1AE00328038",103739.891751311,"CR0065600574"
"145","C1AE00328038",29311.4459664895,"CR0088577540"
"146","C1AE00328038",48347.8879988728,"CR0016028552"
"147","C1AE00233504",90489.0640381115,"CR0002829524"
"148","C1AE00196031",53293.8864585853,"CR0030796214"
"149","C1AE00208176",15146.9679540663,"CR0029184387"
"150","C1AE00410263",54667.8976458136,"CR0098658693"
"151","C1AE00146958",87367.0645259521,"CR0028605859"
"152","C1AE00146958",111794.189824389,"CR0056291286"
"153","C1AE00360101",1032583.47684547,"CR0084225590"
"154","C1AE00412612",41008.8442759681,"CR0020919810"
"155","C1AE00412612",168657.505848093,"CR0086665982"
"156","C1AE00396148",73700.7748964864,"CR0010018670"
"157","C1AE00396148",54171.1361658269,"CR0055368040"
"158","C1AE00396148",223330.611644324,"CR0083849765"
"159","C1AE00176231",226416.556736939,"CR0074321433"
"160","C1AE00948587",14778.4324573008,"CR0072905304"
"161","C1AE00948587",93006.8505882193,"CR0093085274"
"162","C1AE00969943",46307.8915493329,"CR0043964176"
"163","C1AE00213914",11831.7337349725,"CR0037184408"
"164","C1AE00687371",17162.1849611917,"CR0071609006"
"165","C1AE00355053",21035.4045932194,"CR0015956886"
"166","C1AE00067929",392436.503447714,"CR0004384785"
"167","C1AE00067929",5886.33207117616,"CR0010222570"
"168","C1AE00487701",27528.5074612799,"CR0096583929"
"169","C1AE00542041",18668.9956081396,"CR0058101926"
"170","C1AE00474260",73784.7820053298,"CR0010466481"
"171","C1AE00128212",36543.5419943444,"CR0046067084"
"172","C1AE00128212",67436.6855306246,"CR0027002187"
"173","C1AE00128212",124198.425000448,"CR0076892853"
"174","C1AE00332074",34640.5373935597,"CR0039639708"
"175","C1AE00332074",816004.61381935,"CR0096618677"
"176","C1AE00332074",33213.7899133794,"CR0077438554"
"177","C1AE00332074",41265.9554221882,"CR0099536130"
"178","C1AE00946809",28602.3425724025,"CR0088866972"
"179","C1AE00946809",24896.2607260836,"CR0015415128"
"180","C1AE00946809",120676.155384145,"CR0078718713"
"181","C1AE00946809",40082.7173287519,"CR0083076606"
