"","policy_number","inception","expiration"
"1","C1AE00092766","201112","201212"
"2","C1AE00783351","200802","200902"
"3","C1AE00936879","201310","201410"
"4","C1AE00037943","200802","200902"
"5","C1AE00594232","201101","201201"
"6","C1AE00922402","201411","201511"
"7","C1AE00178914","200901","201001"
"8","C1AE00902119","201308","201408"
"9","C1AE00924498","201609","201709"
"10","C1AE00872713","201602","201702"
"11","C1AE00075999","200909","201009"
"12","C1AE00156077","201507","201607"
"13","C1AE00981897","201503","201603"
"14","C1AE00015624","201212","201312"
"15","C1AE00493390","201407","201507"
"16","C1AE00638505","201210","201310"
"17","C1AE00560792","201608","201708"
"18","C1AE00926049","201608","201708"
"19","C1AE00319915","201212","201312"
"20","C1AE00078374","201111","201211"
"21","C1AE00297613","201306","201406"
"22","C1AE00171859","201510","201610"
"23","C1AE00501347","201609","201709"
"24","C1AE00553105","201210","201310"
"25","C1AE00062332","200906","201006"
"26","C1AE00779627","201001","201101"
"27","C1AE00181177","201006","201106"
"28","C1AE00945679","201503","201603"
"29","C1AE00939530","201104","201204"
"30","C1AE00467175","201401","201501"
"31","C1AE00946261","201308","201408"
"32","C1AE00193669","201202","201302"
"33","C1AE00192912","201508","201608"
"34","C1AE00141200","200810","200910"
"35","C1AE00302633","201505","201605"
"36","C1AE00623592","201002","201102"
"37","C1AE00522985","201602","201702"
"38","C1AE00870596","200902","201002"
"39","C1AE00597375","201512","201612"
"40","C1AE00926067","201510","201610"
"41","C1AE00264573","201408","201508"
"42","C1AE00174223","201202","201302"
"43","C1AE00006487","201008","201108"
"44","C1AE00638533","201410","201510"
"45","C1AE00232127","201507","201607"
"46","C1AE00690967","201005","201105"
"47","C1AE00079954","201304","201404"
"48","C1AE00784471","201202","201302"
"49","C1AE00232873","201308","201408"
"50","C1AE00924267","201103","201203"
"51","C1AE00317553","200901","201001"
"52","C1AE00765187","201110","201210"
"53","C1AE00747748","200710","200810"
"54","C1AE00370854","200903","201003"
"55","C1AE00419297","201312","201412"
"56","C1AE00155891","201010","201110"
"57","C1AE00746496","201407","201507"
"58","C1AE00026084","201008","201108"
"59","C1AE00327607","201405","201505"
"60","C1AE00437919","201201","201301"
"61","C1AE00723443","200910","201010"
"62","C1AE00371647","201205","201305"
"63","C1AE00691971","200905","201005"
"64","C1AE00212315","201211","201311"
"65","C1AE00106044","201002","201102"
"66","C1AE00730284","201002","201102"
"67","C1AE00460652","201404","201504"
"68","C1AE00095317","201604","201704"
"69","C1AE00735648","201507","201607"
"70","C1AE00348222","201304","201404"
"71","C1AE00503495","201205","201305"
"72","C1AE00839565","201301","201401"
"73","C1AE00094085","201509","201609"
"74","C1AE00417667","200710","200810"
"75","C1AE00340222","201401","201501"
"76","C1AE00823288","201107","201207"
"77","C1AE00603038","201406","201506"
"78","C1AE00145410","201509","201609"
"79","C1AE00081231","200904","201004"
"80","C1AE00963470","201105","201205"
"81","C1AE00993902","201504","201604"
"82","C1AE00147236","200807","200907"
"83","C1AE00991012","201607","201707"
"84","C1AE00419630","201408","201508"
"85","C1AE00901489","201012","201112"
"86","C1AE00723979","201105","201205"
"87","C1AE00358540","201101","201201"
"88","C1AE00425384","201408","201508"
"89","C1AE00381963","201403","201503"
"90","C1AE00207194","201508","201608"
"91","C1AE00981665","201509","201609"
"92","C1AE00190046","201211","201311"
"93","C1AE00099241","201204","201304"
"94","C1AE00438469","201106","201206"
"95","C1AE00525364","201209","201309"
"96","C1AE00660436","201306","201406"
"97","C1AE00378250","201202","201302"
"98","C1AE00122704","200809","200909"
"99","C1AE00443213","201506","201606"
"100","C1AE00396824","201307","201407"
"101","C1AE00677978","201604","201704"
"102","C1AE00903730","201512","201612"
"103","C1AE00754044","201307","201407"
"104","C1AE00964313","200802","200902"
"105","C1AE00235142","201509","201609"
"106","C1AE00328739","201306","201406"
"107","C1AE00672810","201005","201105"
"108","C1AE00066346","201408","201508"
"109","C1AE00495652","201301","201401"
"110","C1AE00371513","201309","201409"
"111","C1AE00772322","201407","201507"
"112","C1AE00544904","201111","201211"
"113","C1AE00317288","201007","201107"
"114","C1AE00363786","200704","200804"
"115","C1AE00167756","201508","201608"
"116","C1AE00557982","201307","201407"
"117","C1AE00818802","201310","201410"
"118","C1AE00229568","201505","201605"
"119","C1AE00108669","201211","201311"
"120","C1AE00089512","201306","201406"
"121","C1AE00864094","201606","201706"
"122","C1AE00190467","201401","201501"
"123","C1AE00440266","201309","201409"
"124","C1AE00363455","201006","201106"
"125","C1AE00274967","201502","201602"
"126","C1AE00343030","201006","201106"
"127","C1AE00161049","201603","201703"
"128","C1AE00404039","201607","201707"
"129","C1AE00291174","201209","201309"
"130","C1AE00871058","201202","201302"
"131","C1AE00023560","201610","201710"
"132","C1AE00295694","201107","201207"
"133","C1AE00826636","201209","201309"
"134","C1AE00646023","201511","201611"
"135","C1AE00839250","201306","201406"
"136","C1AE00469697","201305","201405"
"137","C1AE00153334","201603","201703"
"138","C1AE00571035","201004","201104"
"139","C1AE00282197","201603","201703"
"140","C1AE00800080","201502","201602"
"141","C1AE00513647","201509","201609"
"142","C1AE00803991","200811","200911"
"143","C1AE00890055","201511","201611"
"144","C1AE00452771","201606","201706"
"145","C1AE00501064","201405","201505"
"146","C1AE00734038","201309","201409"
"147","C1AE00598543","201408","201508"
"148","C1AE00137824","201308","201408"
"149","C1AE00100501","201312","201412"
"150","C1AE00470087","201005","201105"
"151","C1AE00012546","201010","201110"
